@relation BNGaTest-0.0050-0.0050-n28

@attribute n3 numeric
@attribute n5 numeric
@attribute n1 numeric
@attribute n20 numeric
@attribute n13 numeric
@attribute n23 numeric
@attribute n28 numeric

@data
0.053147854362725844,0.34281190316943144,0.36327846407480224,0.3430692424535511,0.5390290748971309,0.8101466118228127,0.417499028471128
0.2203828088968438,0.798201403052107,0.9652913844256696,0.2293035297208944,0.3700452083505772,0.6965620716132191,0.3529220580565372
0.8374034326981022,0.2658230788909982,0.9430161143370018,0.9556806476295898,0.5734770092968069,0.008075866510508845,0.17110336009692834
0.0825834081697362,0.5252633484916066,0.9308616589259658,0.929317925999879,0.9272148588262907,0.48935012377944476,0.5181450202181552
0.9614556068091539,0.004020340783721377,0.4761978219475651,0.39592353431604776,0.8161775696100623,0.4988024767651996,0.49433281025242876
0.22524967222509162,0.21860442992898532,0.45892679860900165,0.9460133931824475,0.282869716379505,0.3822675743935797,0.07376940249281902
0.3077359653106505,0.32031131760648623,0.27454599124516843,0.15508374384095147,0.9798551347250568,0.4428199356681435,0.8765699125202561
0.9599747857646441,0.6655982035348215,0.1530711949229282,0.5646451713416666,0.19093633890102946,0.8427575197623514,0.15488405257766844
0.14614821614278373,0.5120021088928214,0.4928979157574864,0.9540652631735528,0.909485996258083,0.9044272466186145,0.48604583592879985
0.05518138898950353,0.7309608725642659,0.07993802305614772,0.30850942391973124,0.640785579124,0.7901272007725232,0.5875996671373883
0.017177662276283145,0.20849932837577,0.5914633792378403,0.7203903312937725,0.16551985459359875,0.4813100418129488,0.07114218287316638
0.6923874244067091,0.13072664303522685,0.5561704250181244,0.03010634590247585,0.15287383548850808,0.22670811598222385,0.1488730287024048
0.5866889570508531,0.8081927696130623,0.24142734630059337,0.6555092669991837,0.5927704185866071,0.4089622339544151,0.5182405538679805
0.17530328321059951,0.04575529681626067,0.9600656561572212,0.883732499726173,0.3726419504124796,0.8230281850594895,0.0583940903535765
0.39169933760010545,0.6664708287746062,3.3798591568623415E-4,0.4237317852667569,0.2087898084219686,0.677394618377772,0.17928218969793977
