@relation BNGaTest-1-1-n7

@attribute n0 numeric
@attribute n18 numeric
@attribute n6 numeric
@attribute n16 numeric
@attribute n27 numeric
@attribute n15 numeric
@attribute n20 numeric
@attribute n13 numeric
@attribute n23 numeric
@attribute n7 numeric

@data
0.34168429776297377,0.2617975807537326,0.6998016895156474,0.2005521028136167,0.6533470449930399,0.6359274544732585,0.3430692424535511,0.5390290748971309,0.8101466118228127,0.21251758248826585
0.40335626662769397,0.6011081588285154,0.7877387332535735,0.01589131299640667,0.5390308064788141,0.8892845867436289,0.2293035297208944,0.3700452083505772,0.6965620716132191,0.1838258158847434
0.6308976727049634,0.20443323116301237,0.6849349224741405,0.022724005167810077,0.5432606577035035,0.8799100395214137,0.9556806476295898,0.5734770092968069,0.008075866510508845,0.17562806071333595
0.35253937625394427,0.39774209725838744,0.7350335969958979,0.0264522496292277,0.5455686673438427,0.8747948370678628,0.929317925999879,0.9272148588262907,0.48935012377944476,0.1873920171013802
0.6766449379264624,0.00936409050072778,0.6343800483771758,0.1659153415323411,0.631904787175828,0.6834495652475271,0.39592353431604776,0.8161775696100623,0.4988024767651996,0.1959302530485051
0.4051510411979068,0.16925063016026942,0.6758168633179937,0.1712130364867813,0.6351843819430055,0.6761810552263754,0.9460133931824475,0.282869716379505,0.3822675743935797,0.20615771699361773
0.43556987387024115,0.2450324012835186,0.6954567606639996,0.22776980522705412,0.6701964550057645,0.5985843940580898,0.15508374384095147,0.9798551347250568,0.4428199356681435,0.21332789122215612
0.6760988490444721,0.5023055551357033,0.7621326677673366,0.2650308524130114,0.6932633051021824,0.5474617270871005,0.5646451713416666,0.19093633890102946,0.8427575197623514,0.21127810357774707
0.375980449737215,0.38786115166036356,0.732472812860739,0.1607927728818805,0.6287336062216513,0.6904777995815375,0.9540652631735528,0.909485996258083,0.9044272466186145,0.20567713805299376
0.3424342132608273,0.5510072599809082,0.7747543902417253,0.28746364217919534,0.7071505637237285,0.5166836323458703,0.30850942391973124,0.640785579124,0.7901272007725232,0.22481984098197158
0.32841941200632696,0.16172132206157752,0.6738655386662611,0.13055890958809366,0.6100170095314702,0.731959074026159,0.7203903312937725,0.16551985459359875,0.4813100418129488,0.20307225300084777
0.5774194822563976,0.10377291783151373,0.6588474057620785,0.14138463206161964,0.61671878890541,0.7171060345511171,0.03010634590247585,0.15287383548850808,0.22670811598222385,0.1956880553391399
0.5384405941048234,0.6085527230190122,0.7896680953458016,0.23792858243332504,0.6764853547731406,0.5846464126224957,0.6555092669991837,0.5927704185866071,0.4089622339544151,0.21150402328105694
0.3867320919011643,0.04046079356694901,0.6424391903973131,0.01749424721393044,0.5400231200637091,0.8870853390475052,0.883732499726173,0.3726419504124796,0.8230281850594895,0.18473116626560662
0.4665334155295643,0.5029557479368775,0.7623011742522193,0.3118800711808685,0.7222658154465433,0.48318395741070724,0.4237317852667569,0.2087898084219686,0.677394618377772,0.2246532326306078
0.6778575541394243,0.04274604691015997,0.6430314455056991,0.15816146027746003,0.6271046639887595,0.6940879965065195,0.8581965551697817,0.5421708253698543,0.7087499324797896,0.19468827699366897
0.6731696756387038,0.5123994234331757,0.7647486337740435,0.19883441434368312,0.6522836915598804,0.6382841465750687,0.8103705065618338,0.7994082303186542,0.5924396633188068,0.20113881840461717
0.6149747623034532,0.5620746173884837,0.7776226494570296,0.24888187422748004,0.6832661073004963,0.5696183462926883,0.8890955633657919,0.8979037506590829,0.16095574940050617,0.2107163176340887
0.47777420708328006,0.5486701397096372,0.7741486930993562,0.2939738608124133,0.711180784252902,0.5077515232338172,0.28544608113619374,0.4218891602417868,0.5386204369684398,0.22169156437853624
0.3249982046224117,0.147157518223606,0.6700911268505233,0.09772764471546143,0.5896924635917573,0.7770040190043149,0.16344107591569956,0.22832513492867723,0.965307576542791,0.1985614043098544
0.33389506465297997,0.4643289925352157,0.7522905147010707,0.1968730740036191,0.6510695028285083,0.6409751323791297,0.528035136314312,0.5907961912348977,0.3311981148976001,0.21225810161497205
